distance_cm,ttc,v_rel,voltage,raw_percent,cmd_percent,delta_thr_raw,scenario,accel_detected,brake_detected,accel_latency,misop_flag
23.443,9.22508,0.029991,2.39905,139.81,100,6.60805,1,1,0,-1.76408e+09,0
23.12,40.5494,0.0445767,2.33538,127.077,127.077,-12.7326,1,1,0,-1.76408e+09,0
30.447,inf,0.0451468,1.95502,51.0037,51.0037,-76.0732,1,0,0,-1,0
40.205,inf,0.032947,1.91392,42.7839,42.7839,-8.21979,1,1,0,-1.76408e+09,0
46.682,inf,0.0154145,1.88733,37.4652,37.4652,-5.31867,1,1,0,-1.76408e+09,0
49.368,inf,0.00177335,1.8559,31.1795,31.1795,-6.28571,1,1,0,-1.76408e+09,0
49.402,inf,-0.00946989,1.86718,33.4359,33.4359,2.25639,1,0,0,-1,0
49.385,1615.92,-0.0156776,1.86879,33.7582,33.7582,0.322342,1,1,0,-1.76408e+09,0
49.385,inf,-0.0264419,1.91473,42.9451,42.9451,9.18682,1,1,0,-1.76408e+09,0
43.69,4.33037,-0.0355458,1.99934,59.8681,59.8681,16.9231,1,1,0,-1.76408e+09,0
41.565,11.0476,-0.0334908,2.24593,109.187,109.187,49.3187,1,0,0,-1,0
34.323,2.6324,-0.0322697,2.35392,130.784,74.2036,21.5971,1,1,0,-1.76408e+09,0
29.427,3.39043,-0.0198012,2.41678,143.355,100,12.5714,1,1,0,-1.76408e+09,0
24.582,2.87299,0.0018119,2.38293,136.586,136.586,-6.76923,1,1,0,-1.76408e+09,0
23.154,9.20443,0.0279306,2.41033,142.066,142.066,5.47981,1,0,0,-1,0
23.12,377.09,0.0418545,2.48125,156.249,100,14.1832,1,1,0,-1.76408e+09,0
29.427,inf,0.0466734,1.91875,43.7509,43.7509,-112.498,1,1,0,-1.76408e+09,0
42.279,inf,0.0355411,1.90344,40.6887,40.6887,-3.06225,1,0,0,-1,0
47.481,inf,0.0131371,1.85267,30.5348,30.5348,-10.1539,1,1,0,-1.76408e+09,0
49.402,inf,0.00379135,1.78659,17.3187,17.3187,-13.2161,1,1,0,-1.76408e+09,0
49.368,823.523,-0.0096955,1.80352,20.7033,20.7033,3.38461,1,1,0,-1.76408e+09,0
49.402,inf,-0.0133979,1.80755,21.5092,21.5092,0.805878,1,0,0,-1,0
43.299,3.9522,-0.0264966,1.92842,45.685,45.685,24.1758,1,1,0,-1.76408e+09,0
40.647,8.64576,-0.0242204,2.03963,67.9267,67.9267,22.2418,1,1,0,-1.76408e+09,0
34.068,2.94118,-0.0280752,2.21612,103.223,95.8721,35.2967,1,1,0,-1.76408e+09,0
28.9,3.17269,-0.0190076,2.30879,121.758,121.758,18.5348,1,0,0,-1,0
24.276,2.91152,-0.00995992,2.33941,127.883,93.7908,6.12454,1,1,0,-1.76408e+09,0
21.658,4.6442,0.00957022,2.38615,137.231,100,9.34801,1,1,0,-1.76408e+09,0
