distance_cm,ttc,v_rel,voltage,raw_percent,cmd_percent,delta_thr_raw,scenario,misop_flag
50.048,inf,0,2.20645,101.289,100,34.4908,0,0
49.368,40.3481,0,2.13231,86.4615,86.4615,0,0,0
47.566,14.6672,0.00122355,2.05172,70.3443,70.3443,0,0,0
48.79,inf,0.00446657,2.13553,87.1062,87.1062,16.7619,0,0
39.151,2.25486,0.00446657,1.92278,44.5568,44.5568,0,0,0
37.281,5.56043,0.0218295,1.99451,58.9011,58.9011,0,0,0
30.77,2.62125,0.0285342,2.02996,65.9927,65.9927,7.09159,0,0
28.356,6.5124,0.0402729,1.97436,54.8718,54.8718,0,0,0
23.766,2.86947,0.044627,1.98242,56.4835,56.4835,1.61171,0,0
21.981,6.8232,0.0529094,1.92198,44.3956,44.3956,0,0,0
19.125,3.7093,0.0561309,1.87201,34.4029,34.4029,0,0,0
49.844,11.8057,3.05795e-05,2.04527,69.0549,48.9283,31.2674,0,0
46.801,8.54243,0.00425261,2.11941,83.8828,39.7682,14.8278,0,0
45.016,14.0061,0.00973127,2.25802,111.604,55.1049,27.7216,0,0
39.389,3.88545,0.0129453,2.25077,110.154,110.154,0,0,0
38.454,22.8249,0.0230829,2.24916,109.831,109.831,0,0,0
38.454,inf,0.0247676,2.11458,82.9157,82.9157,0,0,0
38.913,inf,0.0247676,2.16212,92.4249,92.4249,9.50919,0,0
34.442,4.27337,0.0247676,2.17421,94.8425,94.8425,2.41756,0,0
31.076,5.11953,0.0327967,2.10088,80.1758,80.1758,0,0,0
26.401,3.13031,0.0388668,2.1033,80.6593,80.6593,0.483513,0,0
22.321,3.03262,0.0473008,2.07912,75.8242,75.8242,0,0,0
18.462,2.65129,0.0504391,2.08637,77.2747,77.2747,1.45054,0,0
47.005,10.9706,0,2.2556,111.121,46.5843,30.9451,0,0
43.605,7.12232,0.00428462,2.1307,86.1392,86.1392,0,0,0
41.667,11.9363,0.0104069,2.17099,94.1978,94.1978,8.05859,0,0
39.151,8.63687,0.0138977,2.16535,93.0696,93.0696,0,0,0
36.635,8.07971,0.0184307,2.12183,84.3663,84.3663,0,0,0
32.079,3.90639,0.0229649,2.09685,79.37,79.37,0,0,0
28.662,4.6523,0.0311768,2.13473,86.9451,86.9451,7.57508,0,0
24.072,2.9118,0.0373377,2.08879,77.7582,77.7582,0,0,0
19.771,2.54855,0.0456047,2.10169,80.337,80.337,2.57878,0,0
15.929,2.29687,0.0533625,2.05575,71.1502,71.1502,0,0,0
